cell_id,row,col,center_x,center_z,covered,uncertainty,pose_uncertainty,pose_uncertainty_norm,uncertainty_fused
0,0,0,-23.046348278625445,-32.83299329305304,0,0.8,0.0,0.0,0.4
1,0,1,-22.046348278625445,-32.83299329305304,0,0.8,0.0,0.0,0.4
2,0,2,-21.046348278625445,-32.83299329305304,0,0.8,0.0,0.0,0.4
3,0,3,-20.046348278625445,-32.83299329305304,0,0.8,0.0,0.0,0.4
4,0,4,-19.046348278625445,-32.83299329305304,0,0.8,0.0,0.0,0.4
5,0,5,-18.046348278625445,-32.83299329305304,0,0.8,0.0,0.0,0.4
6,0,6,-17.046348278625445,-32.83299329305304,0,0.8,0.0,0.0,0.4
7,0,7,-16.046348278625445,-32.83299329305304,0,0.8,0.0,0.0,0.4
8,0,8,-15.046348278625445,-32.83299329305304,0,0.8,0.0,0.0,0.4
9,0,9,-14.046348278625445,-32.83299329305304,0,0.8,0.0,0.0,0.4
10,0,10,-13.046348278625445,-32.83299329305304,0,0.8,0.0,0.0,0.4
11,0,11,-12.046348278625445,-32.83299329305304,0,0.8,0.0,0.0,0.4
12,0,12,-11.046348278625445,-32.83299329305304,0,0.8,0.0,0.0,0.4
13,0,13,-10.046348278625445,-32.83299329305304,0,0.8,0.0,0.0,0.4
14,0,14,-9.046348278625445,-32.83299329305304,0,0.8,0.0,0.0,0.4
15,0,15,-8.046348278625445,-32.83299329305304,0,0.8,0.0,0.0,0.4
16,0,16,-7.0463482786254446,-32.83299329305304,0,0.8,0.0,0.0,0.4
17,0,17,-6.0463482786254446,-32.83299329305304,0,0.8,0.0,0.0,0.4
18,0,18,-5.0463482786254446,-32.83299329305304,0,0.8,0.0,0.0,0.4
19,0,19,-4.0463482786254446,-32.83299329305304,0,0.8,0.0,0.0,0.4
20,0,20,-3.046348278625445,-32.83299329305304,0,0.8,0.0,0.0,0.4
21,0,21,-2.046348278625445,-32.83299329305304,0,0.8,0.0,0.0,0.4
22,0,22,-1.0463482786254446,-32.83299329305304,0,0.8,0.0,0.0,0.4
23,0,23,-0.0463482786254445,-32.83299329305304,0,0.8,0.0,0.0,0.4
24,0,24,0.9536517213745554,-32.83299329305304,0,0.8,0.0,0.0,0.4
25,0,25,1.953651721374556,-32.83299329305304,0,0.8,0.0,0.0,0.4
26,0,26,2.9536517213745554,-32.83299329305304,0,0.8,0.0,0.0,0.4
27,0,27,3.953651721374555,-32.83299329305304,0,0.8,0.0,0.0,0.4
28,0,28,4.9536517213745554,-32.83299329305304,0,0.8,0.0,0.0,0.4
29,0,29,5.9536517213745554,-32.83299329305304,0,0.8,0.0,0.0,0.4
30,0,30,6.9536517213745554,-32.83299329305304,0,0.8,0.0,0.0,0.4
31,1,0,-23.046348278625445,-31.832993293053043,0,0.8,0.0,0.0,0.4
32,1,1,-22.046348278625445,-31.832993293053043,0,0.8,0.0,0.0,0.4
33,1,2,-21.046348278625445,-31.832993293053043,0,0.8,0.0,0.0,0.4
34,1,3,-20.046348278625445,-31.832993293053043,0,0.8,0.0,0.0,0.4
35,1,4,-19.046348278625445,-31.832993293053043,0,0.8,0.0,0.0,0.4
36,1,5,-18.046348278625445,-31.832993293053043,0,0.8,0.0,0.0,0.4
37,1,6,-17.046348278625445,-31.832993293053043,0,0.8,0.0,0.0,0.4
38,1,7,-16.046348278625445,-31.832993293053043,0,0.8,0.0,0.0,0.4
39,1,8,-15.046348278625445,-31.832993293053043,0,0.8,0.0,0.0,0.4
40,1,9,-14.046348278625445,-31.832993293053043,0,0.8,0.0,0.0,0.4
41,1,10,-13.046348278625445,-31.832993293053043,0,0.8,0.0,0.0,0.4
42,1,11,-12.046348278625445,-31.832993293053043,0,0.8,0.0,0.0,0.4
43,1,12,-11.046348278625445,-31.832993293053043,0,0.8,0.0,0.0,0.4
44,1,13,-10.046348278625445,-31.832993293053043,0,0.8,0.0,0.0,0.4
45,1,14,-9.046348278625445,-31.832993293053043,0,0.8,0.0,0.0,0.4
46,1,15,-8.046348278625445,-31.832993293053043,0,0.8,0.0,0.0,0.4
47,1,16,-7.0463482786254446,-31.832993293053043,0,0.8,0.0,0.0,0.4
48,1,17,-6.0463482786254446,-31.832993293053043,0,0.8,0.0,0.0,0.4
49,1,18,-5.0463482786254446,-31.832993293053043,0,0.8,0.0,0.0,0.4
50,1,19,-4.0463482786254446,-31.832993293053043,0,0.8,0.0,0.0,0.4
51,1,20,-3.046348278625445,-31.832993293053043,0,0.8,0.0,0.0,0.4
52,1,21,-2.046348278625445,-31.832993293053043,0,0.8,0.0,0.0,0.4
53,1,22,-1.0463482786254446,-31.832993293053043,0,0.8,0.0,0.0,0.4
54,1,23,-0.0463482786254445,-31.832993293053043,0,0.8,0.0,0.0,0.4
55,1,24,0.9536517213745554,-31.832993293053043,0,0.8,0.0,0.0,0.4
56,1,25,1.953651721374556,-31.832993293053043,0,0.8,0.0,0.0,0.4
57,1,26,2.9536517213745554,-31.832993293053043,0,0.8,0.0,0.0,0.4
58,1,27,3.953651721374555,-31.832993293053043,0,0.8,0.0,0.0,0.4
59,1,28,4.9536517213745554,-31.832993293053043,0,0.8,0.0,0.0,0.4
60,1,29,5.9536517213745554,-31.832993293053043,0,0.8,0.0,0.0,0.4
61,1,30,6.9536517213745554,-31.832993293053043,0,0.8,0.0,0.0,0.4
62,2,0,-23.046348278625445,-30.832993293053043,0,0.8,0.0,0.0,0.4
63,2,1,-22.046348278625445,-30.832993293053043,0,0.8,0.0,0.0,0.4
64,2,2,-21.046348278625445,-30.832993293053043,0,0.8,0.0,0.0,0.4
65,2,3,-20.046348278625445,-30.832993293053043,0,0.8,0.0,0.0,0.4
66,2,4,-19.046348278625445,-30.832993293053043,0,0.8,0.0,0.0,0.4
67,2,5,-18.046348278625445,-30.832993293053043,0,0.8,0.0,0.0,0.4
68,2,6,-17.046348278625445,-30.832993293053043,0,0.8,0.0,0.0,0.4
69,2,7,-16.046348278625445,-30.832993293053043,0,0.8,0.0,0.0,0.4
70,2,8,-15.046348278625445,-30.832993293053043,0,0.8,0.0,0.0,0.4
71,2,9,-14.046348278625445,-30.832993293053043,0,0.8,0.0,0.0,0.4
72,2,10,-13.046348278625445,-30.832993293053043,0,0.8,0.0,0.0,0.4
73,2,11,-12.046348278625445,-30.832993293053043,0,0.8,0.0,0.0,0.4
74,2,12,-11.046348278625445,-30.832993293053043,0,0.8,0.0,0.0,0.4
75,2,13,-10.046348278625445,-30.832993293053043,0,0.8,0.0,0.0,0.4
76,2,14,-9.046348278625445,-30.832993293053043,0,0.8,0.0,0.0,0.4
77,2,15,-8.046348278625445,-30.832993293053043,0,0.8,0.0,0.0,0.4
78,2,16,-7.0463482786254446,-30.832993293053043,0,0.8,0.0,0.0,0.4
79,2,17,-6.0463482786254446,-30.832993293053043,1,0.2,0.0,0.0,0.1
80,2,18,-5.0463482786254446,-30.832993293053043,0,0.8,0.0,0.0,0.4
81,2,19,-4.0463482786254446,-30.832993293053043,0,0.8,0.0,0.0,0.4
82,2,20,-3.046348278625445,-30.832993293053043,0,0.8,0.0,0.0,0.4
83,2,21,-2.046348278625445,-30.832993293053043,0,0.8,0.0,0.0,0.4
84,2,22,-1.0463482786254446,-30.832993293053043,0,0.8,0.0,0.0,0.4
85,2,23,-0.0463482786254445,-30.832993293053043,0,0.8,0.0,0.0,0.4
86,2,24,0.9536517213745554,-30.832993293053043,0,0.8,0.0,0.0,0.4
87,2,25,1.953651721374556,-30.832993293053043,0,0.8,0.0,0.0,0.4
88,2,26,2.9536517213745554,-30.832993293053043,1,0.2,0.0,0.0,0.1
89,2,27,3.953651721374555,-30.832993293053043,1,0.2,0.0,0.0,0.1
90,2,28,4.9536517213745554,-30.832993293053043,0,0.8,0.0,0.0,0.4
91,2,29,5.9536517213745554,-30.832993293053043,0,0.8,0.0,0.0,0.4
92,2,30,6.9536517213745554,-30.832993293053043,0,0.8,0.0,0.0,0.4
93,3,0,-23.046348278625445,-29.832993293053043,0,0.8,0.0,0.0,0.4
94,3,1,-22.046348278625445,-29.832993293053043,0,0.8,0.0,0.0,0.4
95,3,2,-21.046348278625445,-29.832993293053043,0,0.8,0.0,0.0,0.4
96,3,3,-20.046348278625445,-29.832993293053043,0,0.8,0.0,0.0,0.4
97,3,4,-19.046348278625445,-29.832993293053043,0,0.8,0.0,0.0,0.4
98,3,5,-18.046348278625445,-29.832993293053043,0,0.8,0.0,0.0,0.4
99,3,6,-17.046348278625445,-29.832993293053043,0,0.8,0.0,0.0,0.4
100,3,7,-16.046348278625445,-29.832993293053043,0,0.8,0.0,0.0,0.4
101,3,8,-15.046348278625445,-29.832993293053043,0,0.8,0.0,0.0,0.4
102,3,9,-14.046348278625445,-29.832993293053043,0,0.8,0.0,0.0,0.4
103,3,10,-13.046348278625445,-29.832993293053043,0,0.8,0.0,0.0,0.4
104,3,11,-12.046348278625445,-29.832993293053043,0,0.8,0.0,0.0,0.4
105,3,12,-11.046348278625445,-29.832993293053043,0,0.8,0.0,0.0,0.4
106,3,13,-10.046348278625445,-29.832993293053043,0,0.8,0.0,0.0,0.4
107,3,14,-9.046348278625445,-29.832993293053043,0,0.8,0.0,0.0,0.4
108,3,15,-8.046348278625445,-29.832993293053043,1,0.2,0.0,0.0,0.1
109,3,16,-7.0463482786254446,-29.832993293053043,1,0.2,0.0,0.0,0.1
110,3,17,-6.0463482786254446,-29.832993293053043,1,0.2,0.06122207722587929,0.5335478889646966,0.36677394448234835
111,3,18,-5.0463482786254446,-29.832993293053043,1,0.2,0.0,0.0,0.1
112,3,19,-4.0463482786254446,-29.832993293053043,0,0.8,0.0,0.0,0.4
113,3,20,-3.046348278625445,-29.832993293053043,1,0.2,0.0,0.0,0.1
