cell_id_cov,row_cov,col_cov,center_x_cov,center_z_cov,covered,idx,cell_id_unc,row_unc,col_unc,center_x_unc,center_z_unc,feature_density_norm,uncertainty,priority
0,0,0,-23.046348278625445,-32.83299329305304,0,0,0,0,0,-23.046348278625445,-32.83299329305304,0.0,1.0,1.5
1,0,1,-22.046348278625445,-32.83299329305304,0,1,1,0,1,-22.046348278625445,-32.83299329305304,0.0,1.0,1.5
2,0,2,-21.046348278625445,-32.83299329305304,0,2,2,0,2,-21.046348278625445,-32.83299329305304,0.0,1.0,1.5
3,0,3,-20.046348278625445,-32.83299329305304,0,3,3,0,3,-20.046348278625445,-32.83299329305304,0.0,1.0,1.5
4,0,4,-19.046348278625445,-32.83299329305304,0,4,4,0,4,-19.046348278625445,-32.83299329305304,0.0,1.0,1.5
5,0,5,-18.046348278625445,-32.83299329305304,0,5,5,0,5,-18.046348278625445,-32.83299329305304,0.0,1.0,1.5
6,0,6,-17.046348278625445,-32.83299329305304,0,6,6,0,6,-17.046348278625445,-32.83299329305304,0.0,1.0,1.5
7,0,7,-16.046348278625445,-32.83299329305304,0,7,7,0,7,-16.046348278625445,-32.83299329305304,0.0,1.0,1.5
8,0,8,-15.046348278625445,-32.83299329305304,0,8,8,0,8,-15.046348278625445,-32.83299329305304,0.0,1.0,1.5
9,0,9,-14.046348278625445,-32.83299329305304,0,9,9,0,9,-14.046348278625445,-32.83299329305304,0.0,1.0,1.5
10,0,10,-13.046348278625445,-32.83299329305304,0,10,10,0,10,-13.046348278625445,-32.83299329305304,0.0,1.0,1.5
11,0,11,-12.046348278625445,-32.83299329305304,0,11,11,0,11,-12.046348278625445,-32.83299329305304,0.0,1.0,1.5
12,0,12,-11.046348278625445,-32.83299329305304,0,12,12,0,12,-11.046348278625445,-32.83299329305304,0.0,1.0,1.5
13,0,13,-10.046348278625445,-32.83299329305304,0,13,13,0,13,-10.046348278625445,-32.83299329305304,0.0,1.0,1.5
14,0,14,-9.046348278625445,-32.83299329305304,0,14,14,0,14,-9.046348278625445,-32.83299329305304,0.0,1.0,1.5
