waypoint_id,row,col,x,z
0,0,0,-23.046348278625445,-32.83299329305304
1,0,1,-22.046348278625445,-32.83299329305304
2,0,2,-21.046348278625445,-32.83299329305304
3,0,3,-20.046348278625445,-32.83299329305304
4,0,4,-19.046348278625445,-32.83299329305304
5,0,5,-18.046348278625445,-32.83299329305304
6,0,6,-17.046348278625445,-32.83299329305304
7,0,7,-16.046348278625445,-32.83299329305304
8,0,8,-15.046348278625445,-32.83299329305304
9,0,9,-14.046348278625445,-32.83299329305304
10,0,10,-13.046348278625445,-32.83299329305304
11,0,11,-12.046348278625445,-32.83299329305304
12,0,12,-11.046348278625445,-32.83299329305304
13,0,13,-10.046348278625445,-32.83299329305304
14,0,14,-9.046348278625445,-32.83299329305304
15,0,15,-8.046348278625445,-32.83299329305304
16,0,16,-7.0463482786254446,-32.83299329305304
17,0,17,-6.0463482786254446,-32.83299329305304
18,0,18,-5.0463482786254446,-32.83299329305304
19,0,19,-4.0463482786254446,-32.83299329305304
20,0,20,-3.046348278625445,-32.83299329305304
21,0,21,-2.046348278625445,-32.83299329305304
22,0,22,-1.0463482786254446,-32.83299329305304
23,0,23,-0.0463482786254445,-32.83299329305304
24,0,24,0.9536517213745554,-32.83299329305304
25,0,25,1.953651721374556,-32.83299329305304
26,0,26,2.9536517213745554,-32.83299329305304
27,0,27,3.953651721374555,-32.83299329305304
28,0,28,4.9536517213745554,-32.83299329305304
29,0,29,5.9536517213745554,-32.83299329305304
30,0,30,6.9536517213745554,-32.83299329305304
31,1,30,6.9536517213745554,-31.832993293053043
32,1,29,5.9536517213745554,-31.832993293053043
33,1,28,4.9536517213745554,-31.832993293053043
34,1,27,3.953651721374555,-31.832993293053043
35,1,26,2.9536517213745554,-31.832993293053043
36,1,25,1.953651721374556,-31.832993293053043
37,1,24,0.9536517213745554,-31.832993293053043
38,1,23,-0.0463482786254445,-31.832993293053043
39,1,22,-1.0463482786254446,-31.832993293053043
40,1,21,-2.046348278625445,-31.832993293053043
41,1,20,-3.046348278625445,-31.832993293053043
42,1,19,-4.0463482786254446,-31.832993293053043
43,1,18,-5.0463482786254446,-31.832993293053043
44,1,17,-6.0463482786254446,-31.832993293053043
45,1,16,-7.0463482786254446,-31.832993293053043
46,1,15,-8.046348278625445,-31.832993293053043
47,1,14,-9.046348278625445,-31.832993293053043
48,1,13,-10.046348278625445,-31.832993293053043
49,1,12,-11.046348278625445,-31.832993293053043
50,1,11,-12.046348278625445,-31.832993293053043
51,1,10,-13.046348278625445,-31.832993293053043
52,1,9,-14.046348278625445,-31.832993293053043
53,1,8,-15.046348278625445,-31.832993293053043
54,1,7,-16.046348278625445,-31.832993293053043
55,1,6,-17.046348278625445,-31.832993293053043
56,1,5,-18.046348278625445,-31.832993293053043
57,1,4,-19.046348278625445,-31.832993293053043
58,1,3,-20.046348278625445,-31.832993293053043
59,1,2,-21.046348278625445,-31.832993293053043
60,1,1,-22.046348278625445,-31.832993293053043
61,1,0,-23.046348278625445,-31.832993293053043
62,2,0,-23.046348278625445,-30.832993293053043
63,2,1,-22.046348278625445,-30.832993293053043
64,2,2,-21.046348278625445,-30.832993293053043
65,2,3,-20.046348278625445,-30.832993293053043
66,2,4,-19.046348278625445,-30.832993293053043
67,2,5,-18.046348278625445,-30.832993293053043
68,2,6,-17.046348278625445,-30.832993293053043
69,2,7,-16.046348278625445,-30.832993293053043
70,2,8,-15.046348278625445,-30.832993293053043
71,2,9,-14.046348278625445,-30.832993293053043
72,2,10,-13.046348278625445,-30.832993293053043
73,2,11,-12.046348278625445,-30.832993293053043
74,2,12,-11.046348278625445,-30.832993293053043
75,2,13,-10.046348278625445,-30.832993293053043
76,2,14,-9.046348278625445,-30.832993293053043
77,2,15,-8.046348278625445,-30.832993293053043
78,2,16,-7.0463482786254446,-30.832993293053043
79,2,17,-6.0463482786254446,-30.832993293053043
80,2,18,-5.0463482786254446,-30.832993293053043
81,2,19,-4.0463482786254446,-30.832993293053043
82,2,20,-3.046348278625445,-30.832993293053043
83,2,21,-2.046348278625445,-30.832993293053043
84,2,22,-1.0463482786254446,-30.832993293053043
85,2,23,-0.0463482786254445,-30.832993293053043
86,2,24,0.9536517213745554,-30.832993293053043
87,2,25,1.953651721374556,-30.832993293053043
88,2,26,2.9536517213745554,-30.832993293053043
89,2,27,3.953651721374555,-30.832993293053043
90,2,28,4.9536517213745554,-30.832993293053043
91,2,29,5.9536517213745554,-30.832993293053043
92,2,30,6.9536517213745554,-30.832993293053043
93,3,30,6.9536517213745554,-29.832993293053043
94,3,29,5.9536517213745554,-29.832993293053043
95,3,28,4.9536517213745554,-29.832993293053043
96,3,25,1.953651721374556,-29.832993293053043
97,3,24,0.9536517213745554,-29.832993293053043
98,3,23,-0.0463482786254445,-29.832993293053043
99,3,22,-1.0463482786254446,-29.832993293053043
100,3,21,-2.046348278625445,-29.832993293053043
101,3,20,-3.046348278625445,-29.832993293053043
102,3,19,-4.0463482786254446,-29.832993293053043
103,3,18,-5.0463482786254446,-29.832993293053043
104,3,16,-7.0463482786254446,-29.832993293053043
105,3,15,-8.046348278625445,-29.832993293053043
106,3,14,-9.046348278625445,-29.832993293053043
107,3,13,-10.046348278625445,-29.832993293053043
108,3,12,-11.046348278625445,-29.832993293053043
109,3,11,-12.046348278625445,-29.832993293053043
110,3,10,-13.046348278625445,-29.832993293053043
111,3,9,-14.046348278625445,-29.832993293053043
112,3,8,-15.046348278625445,-29.832993293053043
113,3,7,-16.046348278625445,-29.832993293053043
114,3,6,-17.046348278625445,-29.832993293053043
115,3,5,-18.046348278625445,-29.832993293053043
116,3,4,-19.046348278625445,-29.832993293053043
117,3,3,-20.046348278625445,-29.832993293053043
118,3,2,-21.046348278625445,-29.832993293053043
119,3,1,-22.046348278625445,-29.832993293053043
120,3,0,-23.046348278625445,-29.832993293053043
121,4,0,-23.046348278625445,-28.832993293053043
122,4,1,-22.046348278625445,-28.832993293053043
123,4,2,-21.046348278625445,-28.832993293053043
124,4,3,-20.046348278625445,-28.832993293053043
125,4,4,-19.046348278625445,-28.832993293053043
126,4,5,-18.046348278625445,-28.832993293053043
127,4,6,-17.046348278625445,-28.832993293053043
128,4,7,-16.046348278625445,-28.832993293053043
129,4,8,-15.046348278625445,-28.832993293053043
130,4,9,-14.046348278625445,-28.832993293053043
131,4,10,-13.046348278625445,-28.832993293053043
132,4,11,-12.046348278625445,-28.832993293053043
133,4,12,-11.046348278625445,-28.832993293053043
134,4,13,-10.046348278625445,-28.832993293053043
135,4,14,-9.046348278625445,-28.832993293053043
136,4,17,-6.0463482786254446,-28.832993293053043
137,4,18,-5.0463482786254446,-28.832993293053043
138,4,19,-4.0463482786254446,-28.832993293053043
139,4,21,-2.046348278625445,-28.832993293053043
140,4,22,-1.0463482786254446,-28.832993293053043
141,4,23,-0.0463482786254445,-28.832993293053043
142,4,24,0.9536517213745554,-28.832993293053043
143,4,28,4.9536517213745554,-28.832993293053043
144,4,29,5.9536517213745554,-28.832993293053043
145,4,30,6.9536517213745554,-28.832993293053043
146,5,30,6.9536517213745554,-27.832993293053043
147,5,29,5.9536517213745554,-27.832993293053043
148,5,28,4.9536517213745554,-27.832993293053043
149,5,26,2.9536517213745554,-27.832993293053043
150,5,19,-4.0463482786254446,-27.832993293053043
151,5,18,-5.0463482786254446,-27.832993293053043
152,5,12,-11.046348278625445,-27.832993293053043
153,5,11,-12.046348278625445,-27.832993293053043
154,5,10,-13.046348278625445,-27.832993293053043
155,5,9,-14.046348278625445,-27.832993293053043
156,5,8,-15.046348278625445,-27.832993293053043
157,5,7,-16.046348278625445,-27.832993293053043
