condition,baseline,candidate,pairs,candidate_minus_baseline_failure_risk,baseline_only_failures,candidate_only_failures
deceptive_local_degree,J0_shortest,J2_recoverability,100,-0.06,41,35
deceptive_local_degree,J1_risk,J3_joint,100,-0.06,41,35
neutral,J0_shortest,J2_recoverability,100,-0.06,41,35
neutral,J1_risk,J3_joint,100,-0.05,25,20
recovery_dominant,J0_shortest,J2_recoverability,100,0.0,0,0
recovery_dominant,J1_risk,J3_joint,100,0.0,0,0
risk_fragile,J0_shortest,J2_recoverability,100,-0.06,41,35
risk_fragile,J1_risk,J3_joint,100,0.0,0,0
risk_recovery_conflict,J0_shortest,J2_recoverability,100,0.0,0,0
risk_recovery_conflict,J1_risk,J3_joint,100,0.0,0,0
risk_resilient,J0_shortest,J2_recoverability,100,-0.06,41,35
risk_resilient,J1_risk,J3_joint,100,0.0,0,0
