condition,planner,trials,failure_rate,failure_ci95_low,failure_ci95_high,mean_path_length,mean_route_risk,mean_min_recoverability
deceptive_local_degree,J0_shortest,100,0.41,0.3186731302113651,0.5079856994658921,38.0,3.1217751450977467,0.38799999999999996
deceptive_local_degree,J1_risk,100,0.41,0.3186731302113651,0.5079856994658921,38.0,3.1217751450977467,0.38799999999999996
deceptive_local_degree,J2_recoverability,100,0.35,0.26364248243097527,0.44745556703112027,40.0,3.282707010016306,0.45199999999999996
deceptive_local_degree,J3_joint,100,0.35,0.26364248243097527,0.44745556703112027,40.0,3.282707010016306,0.45199999999999996
neutral,J0_shortest,100,0.41,0.3186731302113651,0.5079856994658921,36.0,2.963857169828927,0.4
neutral,J1_risk,100,0.4,0.3094012864324589,0.4979974132089382,36.0,2.953360864515356,0.5058
neutral,J2_recoverability,100,0.35,0.26364248243097527,0.44745556703112027,36.0,2.9667587909487754,0.63
neutral,J3_joint,100,0.35,0.26364248243097527,0.44745556703112027,36.0,2.9667587909487754,0.63
recovery_dominant,J0_shortest,100,0.35,0.26364248243097527,0.44745556703112027,38.0,3.1226476015392426,0.496
recovery_dominant,J1_risk,100,0.35,0.26364248243097527,0.44745556703112027,38.0,3.1226476015392426,0.496
recovery_dominant,J2_recoverability,100,0.35,0.26364248243097527,0.44745556703112027,38.0,3.1226476015392426,0.496
recovery_dominant,J3_joint,100,0.35,0.26364248243097527,0.44745556703112027,38.0,3.1226476015392426,0.496
risk_fragile,J0_shortest,100,0.41,0.3186731302113651,0.5079856994658921,36.0,4.073857169828927,0.4
risk_fragile,J1_risk,100,0.35,0.26364248243097527,0.44745556703112027,36.0,3.206758790948775,0.63
risk_fragile,J2_recoverability,100,0.35,0.26364248243097527,0.44745556703112027,36.0,3.206758790948775,0.63
risk_fragile,J3_joint,100,0.35,0.26364248243097527,0.44745556703112027,36.0,3.206758790948775,0.63
risk_recovery_conflict,J0_shortest,100,0.35,0.26364248243097527,0.44745556703112027,38.0,4.292647601539243,0.496
risk_recovery_conflict,J1_risk,100,0.41,0.3186731302113651,0.5079856994658921,40.0,3.520724358003302,0.3739999999999999
risk_recovery_conflict,J2_recoverability,100,0.35,0.26364248243097527,0.44745556703112027,38.0,4.292647601539243,0.496
risk_recovery_conflict,J3_joint,100,0.41,0.3186731302113651,0.5079856994658921,40.0,3.520724358003302,0.3739999999999999
risk_resilient,J0_shortest,100,0.41,0.3186731302113651,0.5079856994658921,36.0,3.203857169828927,0.4
risk_resilient,J1_risk,100,0.41,0.3186731302113651,0.5079856994658921,36.0,3.203857169828927,0.4
risk_resilient,J2_recoverability,100,0.35,0.26364248243097527,0.44745556703112027,36.0,4.076758790948776,0.63
risk_resilient,J3_joint,100,0.41,0.3186731302113651,0.5079856994658921,36.0,3.203857169828927,0.4
