condition,family,seed,planner,event_target,route,path_length,route_risk,all_returnable,min_recoverability,mean_recoverability,terminal_recoverability,commitment_loss,maximum_single_step_loss,bottleneck_exposure,fragility_penalty,event_blocks_route,mission_success,objective_value
neutral,open,0,J0_shortest,fragile,fragile,36,2.9840131871149222,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,36.0
neutral,open,0,J1_risk,fragile,fragile,36,2.9840131871149222,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,95.68026374229845
neutral,open,0,J2_recoverability,fragile,resilient,36,2.991634605463117,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,51.120000000000005
neutral,open,0,J3_joint,fragile,resilient,36,2.991634605463117,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,110.95269210926234
neutral,open,1,J0_shortest,resilient,fragile,36,2.948107952866923,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
neutral,open,1,J1_risk,resilient,resilient,36,2.941362392706461,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,True,False,94.82724785412921
neutral,open,1,J2_recoverability,resilient,resilient,36,2.941362392706461,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,True,False,51.120000000000005
neutral,open,1,J3_joint,resilient,resilient,36,2.941362392706461,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,True,False,109.94724785412922
neutral,open,2,J0_shortest,resilient,fragile,36,2.9726011115956847,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
neutral,open,2,J1_risk,resilient,resilient,36,2.96945717004862,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,True,False,95.3891434009724
neutral,open,2,J2_recoverability,resilient,resilient,36,2.96945717004862,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,True,False,51.120000000000005
neutral,open,2,J3_joint,resilient,resilient,36,2.96945717004862,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,True,False,110.5091434009724
neutral,open,3,J0_shortest,none,fragile,36,2.966200356685596,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
neutral,open,3,J1_risk,none,fragile,36,2.966200356685596,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,95.32400713371192
neutral,open,3,J2_recoverability,none,resilient,36,2.9673219116339484,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,51.120000000000005
neutral,open,3,J3_joint,none,resilient,36,2.9673219116339484,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,110.46643823267897
neutral,open,4,J0_shortest,fragile,fragile,36,2.9484936221271516,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,36.0
neutral,open,4,J1_risk,fragile,resilient,36,2.9430124555287196,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,94.86024911057439
neutral,open,4,J2_recoverability,fragile,resilient,36,2.9430124555287196,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,51.120000000000005
neutral,open,4,J3_joint,fragile,resilient,36,2.9430124555287196,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,109.98024911057439
neutral,open,5,J0_shortest,resilient,fragile,36,2.9255762281064306,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
neutral,open,5,J1_risk,resilient,fragile,36,2.9255762281064306,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,94.51152456212861
neutral,open,5,J2_recoverability,resilient,resilient,36,2.97549269386962,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,True,False,51.120000000000005
neutral,open,5,J3_joint,resilient,resilient,36,2.97549269386962,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,True,False,110.6298538773924
neutral,open,6,J0_shortest,resilient,fragile,36,2.9817629343610523,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
neutral,open,6,J1_risk,resilient,resilient,36,2.9803603962919154,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,True,False,95.60720792583831
neutral,open,6,J2_recoverability,resilient,resilient,36,2.9803603962919154,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,True,False,51.120000000000005
neutral,open,6,J3_joint,resilient,resilient,36,2.9803603962919154,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,True,False,110.72720792583831
