id,slug,title,category,status,directory,readme,readme_gr,renderer,directory_exists,validation_status
C01,learned_astar,Learned A* Search,planning,Research Prototype,contributions/01_learned_astar,contributions/01_learned_astar/README.md,contributions/01_learned_astar/README_GR.md,src/dynnav_dashboard/contributions/c01_learned_astar.py,True,registry_validated
C02,uncertainty_estimation,Uncertainty Calibration,uncertainty,Research Prototype,contributions/02_uncertainty_calibration,contributions/02_uncertainty_calibration/README.md,,,True,registry_validated
C03,risk_aware_astar,Belief and Risk Planning,planning,Research Prototype,contributions/03_belief_risk_planning,contributions/03_belief_risk_planning/README.md,contributions/03_belief_risk_planning/README_GR.md,,True,registry_validated
C04,returnability,Irreversibility and Returnability,safety,Research Prototype,contributions/04_irreversibility_returnability,contributions/04_irreversibility_returnability/README.md,contributions/04_irreversibility_returnability/README_GR.md,src/dynnav_dashboard/contributions/c04_returnability.py,True,registry_validated
C05,safe_mode_supervisor,Safe-Mode Navigation,safety,Research Prototype,contributions/05_safe_mode_navigation,contributions/05_safe_mode_navigation/README.md,contributions/05_safe_mode_navigation/README_GR.md,,True,registry_validated
C06,energy_connectivity,Energy and Connectivity,resources,Research Prototype,contributions/06_energy_connectivity,contributions/06_energy_connectivity/README.md,contributions/06_energy_connectivity/README_GR.md,src/dynnav_dashboard/contributions/c06_energy_connectivity.py,True,registry_validated
C07,safe_next_best_view,Next-Best View,active_perception,Research Prototype,contributions/07_next_best_view,contributions/07_next_best_view/README.md,contributions/07_next_best_view/README_GR.md,,True,registry_validated
C08,security_ids,Security IDS,security,Experimental,contributions/08_security_ids,contributions/08_security_ids/README.md,,src/dynnav_dashboard/contributions/c08_security_ids.py,True,registry_validated
C09,multi_robot_navigation,Multi-Robot Navigation,multi_robot,Experimental,contributions/09_multi_robot,contributions/09_multi_robot/README.md,,,True,registry_validated
C10,human_language_ethics,"Human, Language, and Ethics",human_robot_interaction,Experimental,contributions/10_human_language_ethics,contributions/10_human_language_ethics/README.md,,,True,registry_validated
C11,vlm_navigation_agent,VLM Navigation Agent,multimodal_learning,Experimental,contributions/11_vlm_navigation_agent,contributions/11_vlm_navigation_agent/README.md,,,True,registry_validated
C12,diffusion_occupancy,Diffusion Occupancy,prediction,Experimental,contributions/12_diffusion_occupancy,contributions/12_diffusion_occupancy/README.md,,src/dynnav_dashboard/contributions/c12_diffusion_occupancy.py,True,registry_validated
C13,latent_world_model,Latent World Model,world_models,Experimental,contributions/13_latent_world_model,contributions/13_latent_world_model/README.md,,,True,registry_validated
C14,causal_risk_attribution,Causal Risk Attribution,explainability,Experimental,contributions/14_causal_risk_attribution,contributions/14_causal_risk_attribution/README.md,,,True,registry_validated
C15,neuromorphic_sensing,Neuromorphic Sensing,perception,Experimental,contributions/15_neuromorphic_sensing,contributions/15_neuromorphic_sensing/README.md,,,True,registry_validated
C16,federated_navigation_learning,Federated Navigation Learning,distributed_learning,Experimental,contributions/16_federated_nav_learning,contributions/16_federated_nav_learning/README.md,,,True,registry_validated
C17,topological_semantic_maps,Topological Semantic Maps,mapping,Experimental,contributions/17_topological_semantic_maps,contributions/17_topological_semantic_maps/README.md,,,True,registry_validated
C18,formal_safety_shields,Formal Safety Shields,formal_methods,Experimental,contributions/18_formal_safety_shields,contributions/18_formal_safety_shields/README.md,,,True,registry_validated
C19,llm_mission_planner,LLM Mission Planner,language_planning,Documentation Concept,contributions/19_llm_mission_planner,contributions/19_llm_mission_planner/README.md,,,True,registry_validated
C20,multimodal_failure_explainer,Multimodal Failure Explainer,explainability,Experimental,contributions/20_multimodal_failure_explainer,contributions/20_multimodal_failure_explainer/README.md,,,True,registry_validated
C21,ppo_navigation_agent,PPO Navigation Agent,reinforcement_learning,Experimental,contributions/21_ppo_navigation_agent,contributions/21_ppo_navigation_agent/README.md,,,True,registry_validated
C22,curriculum_rl,Curriculum RL,reinforcement_learning,Experimental,contributions/22_curriculum_rl,contributions/22_curriculum_rl/README.md,,src/dynnav_dashboard/contributions/c22_curriculum_rl.py,True,registry_validated
C23,gaussian_splatting_mapper,Gaussian Splatting Mapper,neural_mapping,Documentation Concept,contributions/23_gaussian_splatting_mapper,contributions/23_gaussian_splatting_mapper/README.md,,,True,registry_validated
C24,nerf_uncertainty,NeRF Uncertainty,neural_mapping,Documentation Concept,contributions/24_nerf_uncertainty,contributions/24_nerf_uncertainty/README.md,,src/dynnav_dashboard/contributions/c24_nerf_uncertainty.py,True,registry_validated
C25,adversarial_attack_simulator,Adversarial Attack Simulator,security,Experimental,contributions/25_adversarial_attack_simulator,contributions/25_adversarial_attack_simulator/README.md,,,True,registry_validated
C26,swarm_consensus,Swarm Consensus,multi_robot,Experimental,contributions/26_swarm_consensus,contributions/26_swarm_consensus/README.md,,,True,registry_validated
