frame_idx,num_matches,num_inliers
0,87,80
1,109,109
2,112,112
3,112,111
4,112,111
5,113,112
6,111,110
7,109,109
8,113,112
9,118,117
10,115,114
11,70,40
12,118,118
13,122,121
14,121,118
15,122,117
16,127,127
17,128,128
18,130,128
19,128,127
20,125,123
21,127,125
22,128,126
23,124,121
24,128,128
25,125,124
26,127,126
27,129,128
28,122,119
29,128,127
30,129,128
31,128,126
32,129,127
33,132,129
34,133,130
35,132,126
36,132,128
37,135,128
38,136,133
39,133,131
40,128,123
41,128,125
42,127,123
43,129,122
44,131,127
45,126,120
46,129,127
47,123,118
48,130,127
49,129,127
50,128,124
51,125,121
52,130,126
53,129,122
54,130,128
55,130,120
56,129,127
57,128,126
58,128,125
59,125,120
60,126,125
61,125,124
62,125,122
63,130,129
64,130,126
65,135,135
66,141,131
67,141,139
68,138,136
69,131,122
70,140,140
71,130,126
72,133,131
73,137,135
74,137,136
75,129,127
76,130,120
77,135,133
78,132,130
79,130,129
80,134,128
81,133,131
82,137,135
83,135,131
84,138,135
85,136,134
86,142,139
87,141,134
88,145,138
89,140,137
90,126,123
91,130,124
92,133,125
93,132,128
94,130,127
95,123,120
96,131,129
97,128,127
98,133,131
99,133,129
100,132,131
101,130,119
102,127,125
103,132,130
104,132,128
105,135,131
106,134,132
107,127,120
108,127,122
109,129,123
110,130,125
111,132,129
112,127,123
113,127,123
114,127,125
115,134,132
116,139,132
117,139,136
118,141,136
119,133,128
120,137,135
121,139,139
122,134,127
123,137,134
124,131,130
125,132,132
126,131,129
127,133,131
128,133,133
129,133,132
130,130,119
131,130,127
132,135,131
133,132,128
134,131,130
135,133,131
136,132,130
137,139,137
138,134,131
139,132,122
140,122,116
141,126,120
142,131,127
143,124,119
144,127,118
145,129,122
146,127,124
147,126,114
148,122,119
149,125,124
150,126,125
151,126,124
152,126,122
153,126,124
154,128,126
155,123,121
156,122,117
157,124,119
158,126,123
159,126,122
160,128,124
161,127,123
162,122,120
163,126,123
164,123,122
165,134,127
166,133,131
167,135,127
168,135,133
169,135,135
170,137,136
171,136,135
172,127,123
173,127,125
174,130,128
175,130,129
176,130,129
177,128,128
178,129,128
179,126,123
180,126,124
181,127,119
182,135,120
183,137,135
184,134,129
185,133,132
186,137,137
187,134,133
188,129,126
189,134,129
190,129,121
191,122,119
192,129,123
193,126,119
194,129,125
195,129,125
196,124,121
197,125,122
198,128,123
